from,to,time,count
10215,7607,28,1
7897,15597,29,1
8327,14502,29,8
7897,15601,29,36
10215,8017,29,1
7897,15609,29,2
7897,15600,29,1
8327,17948,29,16
8327,20228,29,1
10215,7706,30,1
8327,2666,30,30
7897,15601,30,1
8235,11237,30,1
8327,14502,30,1
10215,8235,30,1
10215,7765,30,1
7897,14682,30,18
7897,18170,31,33
7897,18313,31,19
7607,2538,31,1
7607,10215,31,1
8327,17948,31,3
7897,15609,31,2
7897,15601,31,36
7897,3396,31,4
7897,15597,31,1
8556,3396,31,2
7897,3403,31,11
7897,15600,31,1
8556,3403,31,10
7897,18313,32,25
7607,10658,32,1
8327,17948,32,9
8556,3403,32,19
8556,3396,32,4
9763,9764,32,1
8017,2538,32,1
8556,11559,32,2
7897,18313,33,26
8327,15824,33,1
8556,1969,33,2
7897,2705,33,2
7897,18343,34,1
8556,4676,34,1
8017,2405,34,1
8556,4670,34,86
7897,2705,34,11
8327,14502,34,1
8556,22601,34,1
7918,11101,34,1
8327,2595,34,3
9765,7607,35,1
8327,4353,35,1
8327,15146,35,12
9765,9766,35,1
7897,2705,35,42
8556,4670,35,2
7577,9766,35,1
8327,15146,36,10
8556,1969,36,2
8327,17948,36,3
9765,7607,36,1
7897,4670,37,40
7706,2538,37,1
7897,2538,37,1
8327,15146,37,12
7897,17963,37,1
7897,15762,37,1
7897,13961,37,1
8556,1969,37,4
7897,14085,37,4
7897,13955,38,1
7897,20228,38,1
7918,2405,38,1
7897,13934,38,1
8327,2060,38,7
7918,2538,38,1
7897,14074,38,1
7918,11443,38,1
8556,1969,38,2
8327,17948,38,7
7706,10658,38,1
7897,13955,39,1
7897,14085,39,1
9765,7577,39,1
2405,8215,39,1
7577,2405,39,1
8556,1969,39,2
7897,14085,40,1
7897,13955,40,1
8327,15151,41,15
7897,13955,41,1
8327,17948,41,2
8327,4385,41,14
7897,20228,41,1
8327,13605,42,25
8556,3068,42,1
8327,12080,42,39
9763,9764,42,1
7897,18482,42,16
7897,2595,42,11
7897,724,42,16
8327,15151,42,12
8556,1969,42,2
11394,8215,43,1
8327,15079,43,11
7897,18482,43,2
8556,1969,43,2
8327,13934,44,1
8327,21582,44,1
11237,7706,44,1
8327,14085,44,3
7577,9765,44,1
7577,11237,44,1
8327,12623,44,7
11237,7897,44,1
7897,19821,44,32
8327,2060,44,7
11237,8017,44,1
11237,8274,44,1
8327,15079,44,11
8327,14089,45,2
8327,14085,45,5
8327,2060,45,2
8327,12607,45,5
8327,13934,45,2
8327,12608,45,14
8327,21587,45,5
8327,13934,46,1
8327,21587,46,23
7897,19821,46,16
7897,18313,46,26
8327,14085,46,3
8327,12608,46,3
7918,11443,46,1
11394,8215,47,1
8327,12608,47,10
7577,11394,47,1
7897,3071,47,31
8327,953,47,8
7897,18313,47,9
8327,961,47,1
9765,7607,47,1
8327,18788,47,1
8327,18790,47,1
7897,18313,48,41
8327,21586,48,4
8327,12608,48,14
8327,961,48,1
8327,953,48,4
8327,953,49,6
7897,18313,49,1
8327,12608,49,3
8327,967,49,1
8327,961,49,1
7577,9766,50,1
8327,23781,50,1
7897,18313,50,50
8327,21586,50,6
8327,3174,50,4
8327,1415,50,1
8327,1416,50,3
7897,23866,51,10
8327,1270,51,5
7751,2538,51,1
7897,18909,51,1
8117,11394,52,1
8327,18788,52,2
8327,18802,52,14
7897,23866,52,5
11394,8117,52,1
8327,953,52,8
11394,7607,52,1
8327,2693,52,11
9763,9764,52,1
8327,961,52,2
8327,3174,52,3
8327,23781,53,1
7897,23866,53,5
8327,2693,53,17
8327,3174,53,4
2538,7607,53,1
8327,9632,53,12
8327,18551,53,18
11237,8235,54,1
7577,2405,54,1
7607,2405,54,1
8327,9632,54,4
9765,7577,54,1
8327,2693,55,10
2538,8235,55,1
7897,21057,55,4
7577,2538,55,1
8327,2208,56,28
8327,9632,56,3
8327,9632,57,15
2405,8215,57,1
8327,17239,57,1
2405,8235,57,1
8327,18551,57,2
8327,2208,57,1
8327,18802,58,13
8327,18551,58,1
8327,18788,58,1
7918,21136,59,28
8117,11394,59,1
7918,22652,59,31
11394,7863,59,1
10139,7607,59,1
7897,1340,59,10
11394,8117,59,1
7897,2106,59,7
8327,18788,59,2
8327,18802,59,26
10139,7918,59,1
10851,8117,60,1
10139,8017,60,1
8327,19379,60,2
7607,2405,60,1
8215,11443,60,1
8327,2643,60,9
7577,9765,60,1
7607,11237,60,1
8327,9943,60,1
8117,10851,60,1
8327,9937,60,8
7607,2538,60,1
8327,18790,60,1
7918,14085,61,7
7577,11101,61,1
7918,13934,61,2
11101,7607,61,1
7897,2108,61,7
7918,21136,61,35
8327,1778,62,1
7918,18535,62,1
9763,9764,62,1
11237,7607,62,1
8327,3403,62,11
7577,11237,62,1
8327,3396,62,4
8235,10658,62,1
7897,24801,62,3
8327,9937,62,8
8327,9943,62,1
7897,21700,62,2
7706,2538,62,1
10139,8117,63,1
8327,19379,63,1
8017,11443,63,2
8117,10139,63,1
8236,11237,63,1
7706,11237,63,1
7918,18535,63,4
7897,1433,64,1
8017,11237,64,1
7863,2538,64,1
7751,2538,64,1
8235,2538,64,1
7897,24801,64,1
2538,8274,64,1
7897,1445,64,6
8235,11101,64,1
8327,3403,64,5
8235,11237,64,1
8327,3348,64,1
8327,3347,64,1
7765,11443,65,1
7577,9766,65,1
7918,19475,65,6
8327,19379,65,1
7577,10215,65,1
8327,9937,65,8
7897,2929,65,1
7918,16934,65,13
10215,8274,65,2
2538,7607,65,1
7607,10215,65,2
7918,19478,65,3
8327,18790,66,1
8327,2680,66,14
8327,18802,66,13
8117,11101,66,1
7765,10215,66,1
8235,10658,66,1
7765,2538,66,1
8327,17006,66,18
11101,8117,66,1
8327,18788,66,2
7918,23089,66,20
7918,23089,67,19
8327,949,67,1
11394,8236,67,1
8327,9937,67,8
8327,951,67,9
11394,7607,67,1
7577,11394,67,1
7918,4670,67,41
7897,2624,68,7
7897,1446,68,1
8117,10658,69,1
7897,2624,69,1
10658,8117,69,1
7577,10658,69,1
7918,4670,70,5
7897,2962,70,1
8327,9937,70,3
7897,24801,70,1
8117,11443,71,1
8327,18028,71,1
11443,8117,71,1
7577,11443,71,1
7897,14500,71,1
7897,13675,71,8
7918,4670,71,3
9765,7577,71,1
8235,11443,71,1
2538,7607,72,1
7897,12161,72,13
9763,9764,72,1
8117,11394,72,1
11394,8117,72,1
7897,19411,72,3
7897,12161,73,3
8327,18788,73,1
8327,18802,73,1
7897,12161,74,14
7897,12161,75,5
7607,11443,75,1
10658,7897,76,1
10658,8117,76,1
8117,10658,76,1
8327,18802,76,5
7607,11443,76,1
10658,7765,76,1
10658,8235,76,1
8117,11394,76,1
7577,9765,76,1
11394,8117,76,1
8236,2299,77,4
8327,21519,77,1
10851,8117,78,1
8236,2299,78,13
8117,10851,78,1
8236,22601,78,1
8236,11443,79,1
8327,24915,79,20
8327,25411,79,1
11394,7897,79,1
7863,11443,79,1
8236,2299,79,28
2538,7607,79,1
8327,25411,80,1
7577,9766,80,1
11443,7918,81,1
8327,20284,81,17
8117,10851,81,1
8236,2299,81,13
11101,7765,81,1
7577,11101,81,1
11443,8274,81,1
7577,2405,81,1
2405,7751,81,1
10851,8117,81,1
11443,8215,81,1
11443,7607,81,1
8327,18912,81,1
11443,8215,82,1
8236,2538,82,1
9763,9764,82,1
11443,7897,82,1
11443,7607,82,1
11443,7751,82,1
7918,11394,83,1
7577,2538,83,1
7918,11443,83,1
7577,10215,83,1
7577,11237,83,1
7607,2538,83,1
7918,11101,83,1
10215,7765,83,1
7607,2538,84,1
2538,7863,84,1
7897,2405,84,1
2538,7765,84,1
8327,20284,84,6
7607,2538,85,1
7607,11237,85,1
8327,1897,85,2
7607,11101,85,1
8117,10215,85,1
8236,10215,85,1
10215,8117,85,1
8236,2538,85,1
7607,2405,85,1
8236,2299,85,13
8236,10658,85,1
8236,2299,86,13
8327,1979,86,4
8941,13934,86,1
8941,14085,86,3
8236,12080,86,28
9765,7577,87,1
8941,14085,87,7
8327,1979,87,13
2538,7765,87,1
8941,13934,87,2
8236,2299,87,4
8327,13556,87,12
8236,14366,88,5
7607,2405,88,1
8327,4353,88,1
8236,12096,88,4
8941,14085,88,3
8941,13934,88,1
8236,12096,89,4
8327,2077,89,15
8236,14366,89,4
11101,8215,89,1
8215,2405,90,2
2405,8274,90,1
2405,7607,90,1
2405,8236,90,1
2405,7706,90,1
8274,2405,91,1
8274,10658,91,1
11101,7863,91,1
8941,13934,91,1
11101,8235,91,1
8941,14085,91,3
8274,2538,92,2
7607,11101,92,1
8274,10658,92,1
8274,10215,92,1
8327,16837,92,1
7607,11237,92,1
8274,2405,92,1
8274,11394,92,1
7577,9765,92,1
8327,21650,92,1
2538,7607,92,1
8941,13934,92,2
9763,9764,92,1
8327,21636,92,1
8274,11101,92,1
8327,21638,92,1
8327,21646,92,16
8327,21653,92,1
7607,2538,93,1
8941,14085,93,3
8941,13934,93,1
8327,14502,93,8
2538,8215,93,1
2405,7706,94,1
7765,2538,94,1
8327,14502,94,1
10215,7706,94,1
8236,14366,94,5
8215,2405,94,1
2538,8235,95,1
7751,11237,95,1
2538,7751,95,1
11101,8017,95,1
2538,7863,95,1
2538,8017,95,1
2538,7918,95,1
8117,2538,95,1
2538,7607,95,1
11101,7706,95,1
2538,8117,95,1
2538,7706,95,1
2538,8215,95,1
7751,15601,96,36
8236,18535,96,1
7751,15597,96,1
7751,15609,96,2
8933,18551,96,18
8236,14366,96,12
11237,7918,97,1
8017,11443,97,1
8327,16695,97,7
7577,9766,97,1
8235,11443,97,1
8933,18551,97,4
7751,15601,97,29
8235,2538,97,1
8941,13934,97,4
7751,15609,97,10
7751,15597,97,2
10215,7607,97,1
8235,11237,97,1
7751,15602,97,18
8235,10658,97,1
7751,15613,97,1
8236,14366,97,16
7751,15677,97,36
8941,14085,97,10
8941,13934,98,1
7751,18790,98,1
8941,15601,98,36
8933,15609,98,2
8236,14366,98,12
7751,11443,98,1
7751,3396,98,5
8933,15601,98,36
8933,15597,98,1
7751,3403,98,23
7577,10215,98,1
7751,18788,98,1
8941,15609,98,2
8274,2538,98,1
8941,15597,98,1
10215,8274,98,1
11443,8215,99,1
8117,10215,99,1
10215,8017,99,1
7577,2405,99,1
2405,8215,99,1
8236,14366,99,5
10215,7863,99,1
8236,3068,99,1
11101,7607,99,1
10215,8117,99,1
8933,14085,99,3
10215,7751,99,1
7577,11443,99,1
8933,13934,99,1
10215,7897,99,1
8933,2299,100,4
8236,14366,100,3
7751,12080,100,56
10658,7918,100,1
8941,13934,101,3
10658,7918,101,1
7751,18912,101,1
7577,10658,101,1
10658,8215,101,1
8236,14366,101,1
7751,14500,101,1
8941,14085,101,7
7751,24471,101,29
8933,2299,101,17
8236,12080,102,27
7577,2538,102,1
2538,8215,102,1
8236,12050,102,2
8933,18170,102,33
8236,14553,102,10
2405,8274,102,1
9764,9763,102,1
8215,12096,102,4
8882,14502,102,8
8215,14366,102,4
8933,2299,102,13
7751,9738,103,23
8882,20152,103,1
7751,24471,103,20
8882,3265,103,1
9765,7577,103,1
8882,2299,103,4
8941,13934,103,4
8941,13955,103,1
8933,9940,103,7
8236,14553,103,10
8941,14085,103,4
8941,18142,103,21
7751,9738,104,9
8236,14378,104,1
8941,18142,104,40
8777,3396,104,4
8777,3403,104,11
7751,9738,105,6
8882,2299,105,17
8777,3403,105,22
8236,14537,105,1
8777,11559,105,2
7751,11101,105,1
8777,3405,105,1
11443,8215,105,1
8236,11101,105,1
8777,3396,105,3
8941,2595,105,16
8236,14366,105,1
8215,2595,105,11
7751,9741,105,1
8215,2595,106,1
8236,14366,106,3
8941,2595,106,2
8882,2060,106,7
8215,10658,106,1
8777,3403,107,12
7751,9738,107,9
7751,11443,107,1
8235,2538,107,1
8777,3396,107,1
8777,21136,107,28
8236,12096,108,4
8777,21136,108,23
8236,14366,108,4
7577,9765,108,1
8882,22601,108,1
7765,11394,108,1
8941,2595,108,3
8882,2060,108,3
7577,11101,109,1
8882,21136,109,28
11101,8117,109,1
8941,2060,109,7
7607,11443,109,1
8117,11101,109,1
8236,14366,109,3
8941,2595,109,3
7897,11443,110,1
7897,10215,110,1
8236,17194,110,1
8215,22601,110,1
7751,9738,110,8
8882,16838,110,14
7897,11237,110,1
8236,17195,110,1
8882,21550,110,1
8882,18970,110,2
8236,4391,110,29
8777,21136,110,14
8882,21136,110,16
8941,2595,110,11
7897,10658,110,1
7918,10215,111,1
8941,16215,111,20
8941,16207,111,45
8777,21136,111,1
7751,9740,111,11
8941,2595,111,1
7918,11394,111,1
8941,14500,111,1
2405,7706,112,1
11394,7863,112,1
2405,7897,112,1
2405,8117,112,1
8236,14569,112,5
7577,11394,112,1
2405,8236,112,1
8236,4391,112,19
11394,7918,112,1
9763,9764,112,1
7577,9766,112,1
2405,8274,112,1
2405,8235,112,1
11394,7706,112,1
8882,12071,112,10
2405,8017,112,1
8236,12600,112,11
7706,18535,112,1
2405,8215,112,1
8117,2405,112,1
8941,4353,113,1
8215,18170,113,33
7751,9740,113,1
8882,12071,113,10
11394,8235,113,1
8274,11443,113,1
8236,19719,113,11
11394,7706,113,1
11394,8215,113,1
8215,11237,114,1
8236,19719,114,9
8882,12071,114,13
8215,18170,114,13
7751,2015,114,1
8236,14474,114,8
8941,2595,114,1
8215,2060,115,7
10139,8215,115,1
8236,19464,115,10
8941,23874,116,39
8882,14085,116,3
8941,23870,116,1
8882,13934,116,1
8882,12071,116,10
8777,18142,116,21
11101,7607,117,1
11101,8235,117,1
8882,12071,117,10
8882,14089,117,2
7751,9738,117,8
7751,23847,117,19
8215,2060,117,2
8882,14501,117,1
7751,19478,117,4
7751,19475,117,6
7751,14022,117,1
8882,13934,117,1
8882,15063,117,14
8882,14085,117,3
7751,17964,118,15
8215,2061,118,1
8941,18145,118,14
8941,15602,118,18
8941,15601,118,27
8941,15609,118,8
2405,7607,118,1
8882,2595,118,11
8941,15600,118,1
8941,15597,118,1
8215,15359,119,17
8215,15358,119,1
8882,12084,120,5
8215,18098,120,30
7751,14502,120,7
7751,18909,120,1
8882,12080,120,8
8274,12080,120,28
7751,16365,120,11
8882,2595,121,3
8274,12080,121,11
8882,14740,121,13
8882,18228,121,14
7751,16365,121,2
11443,8215,122,1
8215,14500,122,1
7577,11443,122,1
11394,7607,122,1
8882,2595,122,1
9763,9764,122,1
9765,7577,122,1
7765,11443,122,1
7751,16365,122,5
8236,10486,123,12
8215,15600,123,1
8882,474,123,2
8215,15609,123,8
8274,13934,123,2
8274,14089,123,2
8215,15602,123,18
8274,21582,123,1
8215,15601,123,27
8770,18313,123,19
8117,11394,123,1
8215,15597,123,1
8274,14085,123,6
7577,9765,124,1
8236,12030,124,18
8215,15609,124,2
8274,14085,124,2
8215,15597,124,1
8215,15602,124,6
8882,2680,124,14
8215,15601,124,26
8215,10215,124,1
8215,15600,124,1
8882,1761,124,19
8274,13934,124,1
7751,16365,125,3
7751,10215,125,1
8236,12030,125,12
8274,14085,125,3
8882,474,125,18
8882,1761,125,28
8274,13934,125,1
8274,18788,126,1
8941,22579,126,5
8882,474,126,12
7751,16365,126,6
8274,18790,126,1
8882,1761,126,14
8941,18145,126,9
8236,9585,126,16
8941,14500,126,1
8235,10215,126,1
8941,18147,126,3
8274,11443,127,1
8215,14062,127,1
8236,9585,127,20
8215,14379,127,1
8770,18313,127,64
8882,22601,127,1
8215,15600,127,1
7577,9766,127,1
8215,14500,127,1
8274,961,127,1
8215,15601,127,35
8215,15608,127,2
8941,22579,127,1
8215,15602,127,2
8215,15609,127,3
8274,953,127,8
7751,16365,127,5
8215,15602,128,2
8215,15609,128,3
8215,15600,128,1
8882,1761,128,14
8215,15601,128,35
8274,961,128,1
8215,14500,128,1
8274,953,128,4
7751,16365,128,9
8770,18313,129,16
8941,22579,129,5
8882,13934,129,1
7577,10215,129,1
8274,967,129,1
8235,11443,129,1
8236,9585,129,1
8274,953,129,6
10215,7706,129,1
8882,14085,129,3
8274,961,129,1
8274,953,130,8
8882,24934,130,20
8882,20351,130,1
8882,14085,130,3
8882,13934,130,1
8236,9585,130,1
8274,961,130,2
8882,19776,131,2
8941,22579,131,2
8274,18802,131,1
7897,11443,131,1
8882,19753,131,1
7751,16365,131,11
8274,18788,131,1
7751,18813,131,7
9763,9764,132,1
8882,19776,132,4
8215,15609,132,2
8274,18788,132,1
7751,19909,132,15
7751,18901,132,1
8215,15601,132,36
8274,18802,132,13
8236,9585,132,5
8215,15600,132,1
8941,22579,132,2
8215,15597,132,1
8941,1716,132,4
8274,18551,132,18
8882,14362,132,20
8882,19753,132,1
8274,18802,133,13
8117,11443,133,1
8215,15601,133,35
7918,11101,133,1
8215,15600,133,1
2405,7863,133,1
8274,18551,133,3
8215,15602,133,2
8882,19776,133,9
8215,14500,133,1
11443,7918,133,1
8215,15609,133,3
8274,18788,133,1
8770,18313,133,22
8941,1716,133,6
8770,18170,133,33
7577,2405,133,1
11443,8117,133,1
8941,1716,134,8
8215,15597,134,1
8215,15609,134,8
8215,15600,134,1
8882,19776,134,2
8215,14500,134,1
8215,15601,134,27
7751,24493,134,4
8215,15602,134,18
7751,23897,134,1
8770,4670,134,69
8236,9585,135,2
10139,8017,135,1
8941,1716,135,8
8215,11619,135,3
8770,4670,135,21
8215,14316,135,14
8770,13934,136,1
8770,14085,136,3
8215,11237,136,1
8770,12080,136,28
7577,11394,136,1
11394,8017,136,1
8236,21206,136,17
8274,18802,136,26
8274,18788,136,2
8236,21206,137,14
8882,14362,137,8
8770,12080,137,46
8770,9736,137,1
7751,17543,137,27
8941,1716,137,8
8215,14316,137,10
8236,11394,137,1
7751,15109,137,1
7751,24493,137,16
7751,23897,137,10
7577,11237,138,1
11237,8117,138,1
8215,14316,138,25
8941,1716,138,8
8215,11619,138,3
9765,7577,138,1
8215,2000,138,1
11237,7918,138,1
8882,19776,138,17
8117,11237,138,1
7577,11443,139,1
8236,21500,139,8
8882,14362,139,4
8236,21206,139,13
8941,1994,139,8
8274,18790,139,1
8236,18788,139,1
11443,8017,139,1
8274,19379,139,2
7751,12465,139,43
8770,12080,139,32
8274,3403,140,11
8770,12080,140,95
8882,12168,140,10
8770,2974,140,19
8882,18098,140,62
8770,2978,140,1
8215,4341,140,3
8215,4340,140,1
2538,8017,140,1
7577,2538,140,1
7577,9765,140,1
8274,3396,140,4
8941,1994,140,2
7577,11101,141,1
8941,1994,141,1
8274,19379,141,1
11101,8215,141,1
8882,14362,141,15
8274,1778,141,1
8274,3348,142,1
8215,14727,142,11
8236,21500,142,6
7577,9766,142,1
8274,3403,142,5
8236,14500,142,1
8274,3347,142,1
8215,14726,142,1
9763,9764,142,1
11443,7751,143,1
11443,7607,143,1
8770,18349,143,3
8882,14362,143,14
8770,2974,143,2
11443,7765,143,1
8215,14727,143,11
8236,18801,143,11
8882,18432,143,15
8236,18788,143,3
11443,8215,143,1
8274,19379,143,1
11443,8236,143,1
8941,1994,143,1
8236,18790,144,12
11394,8017,144,1
8882,14362,144,8
8941,10399,144,10
8941,10518,144,2
8117,10139,144,1
11394,7765,144,1
11394,7607,144,1
10139,8215,144,1
8941,1994,144,4
8236,18788,144,2
8215,9571,144,5
10139,8235,144,1
11394,7918,144,1
10139,8117,144,1
8770,2978,145,1
8882,18432,145,1
8236,21113,145,1
8882,18433,145,1
8770,2974,145,21
8274,2680,145,14
7607,11101,145,1
8941,10519,146,1
8882,14362,146,11
8770,15076,146,8
8882,14362,147,4
8882,18169,147,33
8770,15076,147,17
7607,2538,148,1
11101,7765,148,1
7607,2405,148,1
11237,7897,148,1
8117,11237,148,1
8215,9571,148,4
7577,10215,148,1
8274,18802,148,13
8274,18788,148,1
8117,10215,148,1
7863,11443,148,1
8941,10399,148,10
11237,8117,148,1
11101,7706,148,1
10215,8117,148,1
8941,10518,148,2
8770,16845,149,1
2405,8117,149,1
8770,24904,149,4
8882,14362,149,11
11394,7765,149,1
8117,2405,149,1
8882,18169,149,9
7577,2405,149,1
8941,10520,149,1
8770,16844,149,1
8770,21636,149,1
8770,16841,149,1
11394,8236,149,1
8770,16838,149,16
8941,10399,150,10
8882,14362,150,4
8274,18788,150,1
8274,18790,150,1
8882,15013,150,1
8017,22652,150,15
8274,18028,150,1
8941,10518,150,2
8770,24899,150,2
8274,949,150,1
8215,9571,150,4
8770,24902,150,1
8882,15014,150,1
8274,951,150,9
8770,24904,150,1
8274,18788,151,1
7765,11443,151,1
8770,21495,151,15
8017,3403,151,23
8941,10520,151,1
8770,24907,151,1
8017,3396,151,5
8882,18169,151,22
8274,18802,151,2
8017,3405,151,1
8017,22652,151,1
8882,14362,151,11
8941,22662,151,30
8215,18888,152,3
8274,18802,152,4
8017,2595,152,11
8215,18887,152,21
8941,9738,152,11
8941,17166,152,7
9763,9764,152,1
8274,21519,152,1
8882,21294,152,1
8017,10215,152,1
7607,11237,152,1
8941,16059,153,2
8274,24915,153,19
8017,21136,153,28
8215,18930,154,1
8941,16059,154,3
8017,3403,154,23
8215,18887,154,9
2538,8117,154,1
8274,24915,154,1
9765,7577,154,1
8117,2538,154,1
8017,3396,154,5
8215,18888,154,1
8274,25411,155,1
10215,8215,155,1
8215,18887,155,3
8941,16795,155,3
8017,3380,155,19
8017,3405,155,1
10851,8236,156,1
8882,23624,156,1
8882,12096,156,1
8941,16795,156,5
8215,18888,156,1
8017,15602,156,18
10851,7607,156,1
8017,15597,156,2
8017,15609,156,12
8882,9906,156,20
7577,9765,156,1
8882,17888,156,12
8941,1408,156,26
8882,14362,156,4
10851,7751,156,1
8017,15600,156,1
8017,15601,156,75
8215,18887,156,15
8882,23623,156,15
8017,15597,157,1
8882,9906,157,29
8215,18887,157,3
8274,18912,157,1
8017,3258,157,35
8215,14099,157,1
8215,14096,157,1
8017,15609,157,8
8017,15602,157,18
8274,20284,157,17
8017,15600,157,1
7577,9766,157,1
8215,14100,157,1
8215,21614,157,1
7765,11101,157,1
8017,12096,157,1
8882,12096,157,2
8274,25411,157,1
8017,15601,157,27
8882,23887,157,1
10139,8235,157,1
8017,15601,158,27
8017,15600,158,1
8215,21614,158,1
8274,20284,158,6
8017,15609,158,8
8882,9904,158,16
8882,12096,158,1
8017,15602,158,18
8017,15597,158,1
8941,1406,158,5
8882,9906,158,1
8882,23623,158,1
8017,11101,159,1
8882,16811,159,7
8215,14100,159,1
11237,8215,159,1
2405,7863,160,1
8941,1407,160,27
7577,11443,160,1
8882,16811,160,7
2405,8274,160,1
11443,8215,160,1
8941,1406,160,22
2405,7765,160,1
8274,1897,161,2
7706,11443,161,1
8882,16811,161,7
8941,1407,161,17
8236,2538,161,1
8236,11443,161,1
8236,11237,161,1
8236,11101,161,1
8236,10658,161,1
9763,9764,162,1
8941,11613,162,1
8941,1406,162,5
8117,11394,163,1
8274,11101,163,1
8274,1979,163,4
8274,11394,163,1
11394,8117,163,1
8235,11101,163,1
8962,22601,163,1
11394,7607,163,1
8882,14427,163,1
8274,11237,163,1
8941,1406,163,6
7577,11394,163,1
7751,11443,163,1
8274,11443,164,1
8215,11443,164,1
8117,11443,164,1
7577,2538,165,1
2538,8017,165,1
2538,8117,165,1
2538,8215,165,1
2538,8235,165,1
11237,8274,165,1
2538,8236,165,1
8117,2538,165,1
8215,10658,165,1
2538,7897,165,1
8882,4398,165,8
8882,16811,165,7
2538,7751,165,1
2538,7706,165,1
2538,8274,165,1
7751,11101,165,1
8941,1406,166,19
8941,18313,166,19
7577,10215,166,1
8882,23983,166,6
8274,1979,166,13
8274,10658,166,1
8117,10215,166,1
10215,8117,166,1
8274,4353,167,1
8882,23983,167,5
8777,3396,167,4
10215,7897,167,1
8777,3403,167,11
8274,2077,167,15
8274,13556,167,12
8274,21636,168,1
8274,16837,168,1
8274,21646,168,16
8274,21653,168,1
8274,21650,168,1
8941,1406,168,44
8274,21638,168,1
8777,3403,169,12
8777,3396,169,1
8274,14502,169,8
8941,18313,169,72
8882,23983,169,6
7706,10215,170,1
8882,14947,170,11
8274,16695,170,7
7706,2538,170,1
8274,14502,170,1
7706,11394,170,1
8777,3396,170,2
8941,14555,170,7
9765,7577,170,1
10215,8215,170,1
8882,14948,170,1
8777,11559,170,2
8777,3405,170,1
